火车站名	经纬度
东莞	113.758420457876,23.0273084116434
东莞东	113.758420457876,23.0273084116434
东莞港	97.3911088501482,37.3211276774614
东莞南	97.3911088501482,37.3211276774614
东莞西	97.3911088501482,37.3211276774614
东光	116.538390274942,37.8991757053191
东海	118.775370777932,34.5215120353471
东海县	118.775370777932,34.5215120353471
东花园北	97.3911088501482,37.3211276774614
东环	97.3911088501482,37.3211276774614
东京城	97.3911088501482,37.3211276774614
东来	97.3911088501482,37.3211276774614
东明村	97.3911088501482,37.3211276774614
东南营子	97.3911088501482,37.3211276774614
东胜东	109.969560068835,39.8279869844444
东胜西	109.969560068835,39.8279869844444
东台	120.30885904113,32.8519466994208
东湾	97.3911088501482,37.3211276774614
东乡	116.632473478439,28.2354299342149
东兴	105.043357831904,29.5943843177129
东兴市	105.08254748773,29.5984857285832
东阳北	120.248421927914,29.2958610651509
东阳关	120.248421927914,29.2958610651509
东营	118.478722001914,37.4614379822162
东淤地	97.3911088501482,37.3211276774614
东镇	97.3911088501482,37.3211276774614
东至	117.034481289438,30.1165345282653
东庄	97.3911088501482,37.3211276774614
氡泉	97.3911088501482,37.3211276774614
董家口	97.3911088501482,37.3211276774614
洞井	97.3911088501482,37.3211276774614
洞口	110.581823172164,27.0611296536303
洞庙河	97.3911088501482,37.3211276774614
都安	108.111458047648,23.9373312619231
都昌	116.21372504137,29.2708037523131
都格	97.3911088501482,37.3211276774614
都江堰	103.653533604432,30.9942568935422
都匀	107.525404431437,26.2661179577885
都匀东	107.525404431437,26.2661179577885
斗沟子	97.3911088501482,37.3211276774614
豆沙关	104.127702000456,28.0409580267688
豆庄	97.3911088501482,37.3211276774614
独山	107.551497781069,25.828287807074
独山东	97.3911088501482,37.3211276774614
杜尔伯特	124.454840161806,46.8767092801338
渡市	97.3911088501482,37.3211276774614
端州	112.491560229786,23.0575637261757
对青山	114.391492656967,30.6465930755431
敦化	128.238612393154,43.3782912745168
敦煌	94.6685270257624,40.1478674842443
峨边	103.268577253376,29.2360891095626
峨边南	103.268577253376,29.2360891095626
峨眉	97.3911088501482,37.3211276774614
峨眉山	103.473212326448,29.5821575980727
峨山	102.412564506074,24.1747742390925
额济纳	97.3911088501482,37.3211276774614
额敏	83.6462531015571,46.5332206605779
鄂尔多斯	109.849688384972,39.5663682114202
鄂州	114.901607388271,30.396572173317
恩平	112.402270818057,22.1907299718322
恩施	109.49065453705,30.3539694948927
尔赛河	116.812389714815,30.3354425355107
二道沟门	97.3911088501482,37.3211276774614
二道桥	114.124563225992,22.5398520253767
二道湾	124.544773478955,47.9648330734424
二连	97.3911088501482,37.3211276774614
二龙	97.3911088501482,37.3211276774614
二龙山屯	97.3911088501482,37.3211276774614
二龙屯	97.3911088501482,37.3211276774614
二营	97.3911088501482,37.3211276774614
发耳	97.3911088501482,37.3211276774614
番禺	113.390469580431,22.9438307315176
