火车站名	经纬度
灵石东	111.785617875962,36.8533675012702
灵武	106.346440355448,38.1086586667933
灵武北	106.346440355448,38.1086586667933
凌海南	121.362538795844,41.1664876285883
陵城	116.589400014343,37.3471324345809
陵水	110.044464092548,18.5123315956988
零陵	111.587658636102,26.2282961685578
刘沟	97.3911088501482,37.3211276774614
刘家河	123.993232500461,40.6778856204705
刘召	97.3911088501482,37.3211276774614
刘征	97.3911088501482,37.3211276774614
流水沟	97.3911088501482,37.3211276774614
柳沟	97.3911088501482,37.3211276774614
柳河	125.732888974813,42.2885132308822
柳家庄	97.3911088501482,37.3211276774614
柳林南	110.937916250956,37.4488583480879
柳毛	97.3911088501482,37.3211276774614
柳园	95.5106490057549,41.1107774265045
柳园南	97.3911088501482,37.3211276774614
柳州	109.39437000706,24.3137260369598
六安	116.526409664186,31.7414508153226
六道河子	117.322024032332,40.4016415876277
六个鸡	107.788128160801,26.5734898640601
六合镇	102.809081947881,29.7887376019937
六盘山	106.298762970167,35.7124579252695
六盘水	104.858561836013,26.5969517689381
六盘水东	104.858561836013,26.5969517689381
六枝	97.3911088501482,37.3211276774614
六枝南	97.3911088501482,37.3211276774614
龙池	97.3911088501482,37.3211276774614
龙川	115.266555484846,24.1058507219547
龙川西	115.266555484846,24.1058507219547
龙洞堡	97.3911088501482,37.3211276774614
龙丰	97.3911088501482,37.3211276774614
龙沟	97.3911088501482,37.3211276774614
龙骨甸	97.3911088501482,37.3211276774614
龙嘉	125.706230411346,43.9981640686009
龙江	123.191135680546,47.3375541352229
龙口市	120.528884602911,37.6251773536591
龙里北	106.98658596469,26.4590806306417
龙南	114.796314379351,24.9169872980115
龙南东	114.796314379351,24.9169872980115
龙桥	114.124563225992,22.5398520253767
龙泉市	119.148444765207,28.0805087252513
龙泉寺	97.3911088501482,37.3211276774614
龙山北	109.471125451843,29.4938453157527
龙山镇	106.374130532963,31.8713845619734
龙市	113.974618339808,26.7252616003795
龙塘坝	97.3911088501482,37.3211276774614
龙塘镇	115.055502842477,34.6041269117645
龙兴	97.3911088501482,37.3211276774614
龙岩	117.014465140492,25.1014605049807
龙岩2	117.014465140492,25.1014605049807
龙游	119.178418255657,29.0344865532949
龙游南	119.178418255657,29.0344865532949
龙镇	126.722083948628,48.6928374982101
隆安东	107.702573903381,23.1715852498276
隆昌	105.294290942131,29.3452383653473
隆昌北	105.294290942131,29.3452383653473
隆化	117.739650575787,41.3250236392889
隆回	111.039506685278,27.1199464400189
陇南	104.924943840179,33.4047615932196
陇西	104.641380590694,35.0101971623176
陇县	106.87058365441,34.8987802531072
娄底	112.005077401354,27.7343701757742
娄底南	111.681989607843,27.6907570717435
娄烦	111.804237772912,38.075904342255
娄山关	97.3911088501482,37.3211276774614
娄山关南	97.3911088501482,37.3211276774614
卢龙	118.885810703093,39.8987619345189
芦沟	97.3911088501482,37.3211276774614
芦官	97.3911088501482,37.3211276774614
芦家村	97.3911088501482,37.3211276774614
芦庙	97.3911088501482,37.3211276774614
芦台	117.851620494893,39.3359700035228
庐江	117.28931124905,31.2554746225083
庐江西	117.293577301917,31.261327637478
庐山	116.051425939173,29.4545391657173
泸县	105.388309662877,29.1578276127368
泸州	105.460286032518,28.9505090629528
鲁番	97.3911088501482,37.3211276774614
鲁山	112.910224959167,33.7524783133852
陆川	110.270456199451,22.3272215277693
陆丰	115.658490310925,22.9236357735608
陆丰东	115.658490310925,22.9236357735608
陆丰南	115.658490310925,22.9236357735608
陆良	103.673432497432,25.0356394704389
鹿寨北	109.763899566609,24.4899884283971
禄丰南	102.070435151013,25.1254975744773
潞城	113.235578458942,36.3396912676123
麓谷	97.3911088501482,37.3211276774614
露水河	127.822056719697,42.5197912881009
滦河	97.3911088501482,37.3211276774614
滦河沿	97.3911088501482,37.3211276774614
滦平	117.331507084279,40.9312502044713
滦县	118.710480062469,39.7471157654891
轮台	84.2810356696374,41.7878190709092
罗城	108.911574453255,24.7830849964291
罗浮山	97.3911088501482,37.3211276774614
罗江东	104.517414160826,31.3241786398261
罗平	104.315510194381,24.8905197248947
罗山	114.519529937915,32.2091504518382
罗源	119.583171092884,26.4611434391566
洛川东	109.438403968248,35.7683004294207
洛门	97.3911088501482,37.3211276774614
洛浦	80.186264241459,37.0759477889865
洛碛	106.9303106279,29.7282667244827
洛湾三江	109.61454747223,25.788830387788
洛阳	112.480692004991,34.6969530144162
洛阳龙门	112.46613631166,34.5998564899231
珞璜东	97.3911088501482,37.3211276774614
珞璜南	97.3911088501482,37.3211276774614
漯河	114.049956991904,33.580279042507
漯河西	113.970479232247,33.5783080643996
吕梁	111.198427992919,37.3526269607487
绿博园	97.3911088501482,37.3211276774614
绿化	97.3911088501482,37.3211276774614
略阳	106.160297979198,33.3380515948312
麻城	114.969304949131,31.1520297326245
麻城北	114.991228903577,31.1920535537785
麻柳	107.703656643678,31.0283249698659
麻山	130.488138351733,45.2153710807582
麻尾	97.3911088501482,37.3211276774614
麻阳	109.810274408885,27.867734716744
麻阳西	109.809436289845,27.8719301629501
麻涌	97.3911088501482,37.3211276774614
马鞍	103.862584118645,36.0395917397591
马鞍山	118.513579579431,31.6762655976091
马鞍山东	118.517555479619,31.7209133755726
马盖图	97.3911088501482,37.3211276774614
马海	97.3911088501482,37.3211276774614
马兰	97.3911088501482,37.3211276774614
马莲河	97.3911088501482,37.3211276774614
马龙	103.58544688632,25.4339663748163
马山县	108.183562156332,23.71387772536
马踏	104.001853979907,29.5276120483147
玛纳斯	86.2026522792759,44.2551003525955
满归	97.3911088501482,37.3211276774614
满洲里	117.456841983008,49.5907199574728
漫流河	97.3911088501482,37.3211276774614
茫崖	90.3969866627011,38.3828716880068
毛坝	97.3911088501482,37.3211276774614
毛坝关	97.3911088501482,37.3211276774614
毛陈	97.3911088501482,37.3211276774614
茅草坪	97.3911088501482,37.3211276774614
茂林	120.769479036824,22.9220440903902
茂名	110.854187426428,21.6868475562413
茂名西	110.854322980729,21.6866200155737
茂舍祖	103.434493652201,24.864895283704
茂县	103.859589796888,31.6868093970632
帽儿山	127.52851400495,45.2828314458696
帽儿山西	97.3911088501482,37.3211276774614
眉山	103.82852908727,30.0727789310291
眉山东	103.82852908727,30.0727789310291
眉县东	107.756398136441,34.2803758630858
梅河口	125.691387978896,42.5415127470001
梅花山	97.3911088501482,37.3211276774614
梅江	116.123535976673,24.3158787690379
梅州西	115.631714608428,24.0755159981762
煤田	97.3911088501482,37.3211276774614
美岱召	110.752010398546,40.5906230585945
美兰	110.373498399042,20.0346462176251
美溪	97.3911088501482,37.3211276774614
门达	97.3911088501482,37.3211276774614
门源	101.613954120309,37.3900492702598
蒙渡	97.3911088501482,37.3211276774614
蒙山	110.519467654532,24.2115253446602
蒙自	103.371545881746,23.402079885198
勐腊	101.577188171924,21.4976036340426
孟关	97.3911088501482,37.3211276774614
孟家岗	130.666703251516,46.4287944046736
孟赛	97.3911088501482,37.3211276774614
孟塬	97.3911088501482,37.3211276774614
弥勒	103.421489062998,24.4179822253567
米兰	97.3911088501482,37.3211276774614
米林	94.222825911652,29.2228259929364
米易	102.117538429227,26.9025174484043
米易东	102.133995475995,26.9125307538571
米脂	110.187960326457,37.7587018685338
汨罗	113.080027053918,28.8168029628325
汨罗东	113.151092901094,28.7520214004816
密山	131.878851823625,45.5481940182045
密山西	97.3911088501482,37.3211276774614
密云	116.868705026219,40.4030710379389
密云北	116.868705026219,40.4030710379389
绵阳	104.724059821358,31.46517363227
绵竹南	104.227609304996,31.3435922582107
免渡河	121.067043614031,49.0984370030832
勉县	106.679425948667,33.1598047469551
冕宁	102.183645899481,28.5542317364337
冕山	97.3911088501482,37.3211276774614
渑池	111.768542345845,34.7731970429859
渑池南	111.768542345845,34.7731970429859
庙城	97.3911088501482,37.3211276774614
庙山	97.3911088501482,37.3211276774614
庙阳	97.3911088501482,37.3211276774614
庙庄	97.3911088501482,37.3211276774614
民丰	82.7027134275895,37.0702569682311
民福寺	97.3911088501482,37.3211276774614
民和南	102.836389637958,36.3255614018714
民乐	97.3911088501482,37.3211276774614
民权	115.145673941093,34.6524962464235
民权北	115.154576058867,34.652478726537
民族	97.3911088501482,37.3211276774614
岷县	104.043396039829,34.4444076406504
闽清北	118.869576509562,26.2268475402018
名山	103.115485793803,30.0759136633815
明安	97.3911088501482,37.3211276774614
明城	126.024639201054,43.1985578640029
明港东	114.071397298663,32.492526964031
明光	118.009229094924,32.7902275972657
明水河	125.926639180557,47.1906873374858
明溪	117.208517635677,26.3618536852769
明珠	97.3911088501482,37.3211276774614
磨刀石	97.3911088501482,37.3211276774614
磨丁	97.3911088501482,37.3211276774614
磨憨	97.3911088501482,37.3211276774614
莫尔道嘎	120.816109785075,51.2404911795523
漠河	122.545420834201,52.9783036783774
墨江	101.69087142909,23.4276620004977
墨玉	79.7354792653584,37.2829934469068
牟平	121.657708062687,37.4298023194906
牡丹江	129.619266819598,44.5972239861501
木头营子	120.127221038199,42.6375766360359
木竹河	97.3911088501482,37.3211276774614
牧原	97.3911088501482,37.3211276774614
暮云	97.3911088501482,37.3211276774614
穆棱	130.26956796472,44.5319260193221
那曲	92.0004210525877,31.4457494217226
纳雍	105.389486622755,26.7837172291317
乃林	97.3911088501482,37.3211276774614
乃托	102.609852697705,28.7407634368746
奈曼	97.3911088501482,37.3211276774614
南安北	118.408380801567,25.0290263930103
南堡北	97.3911088501482,37.3211276774614
南博山	97.3911088501482,37.3211276774614
南部	106.043578269709,31.3537053015258
南岔	129.289571799613,47.1437499135947
南昌	115.799142675764,28.6288978733701
南昌2	115.923888026299,28.6699668707027
南昌东	115.923888026299,28.6699668707027
南昌南	115.923888026299,28.6699668707027
南昌西	115.799142675764,28.6288978733701
南城	116.643398849709,27.5762409665595
南城司	116.643398849709,27.5762409665595
南充	106.091833445094,30.81252579002
南充北	106.091833445094,30.81252579002
南仇	97.3911088501482,37.3211276774614
南大庙	103.862584118645,36.0395917397591
南丹	107.547480289338,24.9818497754851
南尔岗	97.3911088501482,37.3211276774614
南芬	123.759280059207,41.1140037228544
南芬北	123.759280059207,41.1140037228544
南丰	116.531403508595,27.2247335248764
南观村	97.3911088501482,37.3211276774614
南河川	97.3911088501482,37.3211276774614
南湖东	120.776518057422,30.7618115758999
南华	101.280420550185,25.1985870711556
南江	106.834483450881,32.3525316541655
南江口	108.845400059239,27.7059216950426
南峧	97.3911088501482,37.3211276774614
南京	118.803439591219,32.0959579309086
南京南	118.802034282079,32.0934852957867
南靖	117.36344641066,24.5208517320699
南朗	97.3911088501482,37.3211276774614
南乐	115.210915983841,36.0816434978659
南陵	118.340418166953,30.9202602986833
南木	97.3911088501482,37.3211276774614
南宁	108.420795209231,22.8477379461744
南宁北	108.373450825819,22.8226066011872
南宁东	108.420795209231,22.8477379461744
南宁西	108.373450825819,22.8226066011872
南彭	97.3911088501482,37.3211276774614
南平市	117.357028017793,27.5545193934897
南通	120.863231757791,32.0735495635535
南通西	120.772076026505,32.1073610180399
南头	113.31518996177,22.7192220197335
南屯	120.62493867034,24.1434499827033
南湾子	97.3911088501482,37.3211276774614
南溪北	104.99251284175,28.8449794982685
南翔北	121.31536958199,31.2878418485638
南雄	114.331374803484,25.1291598559911
南阳	112.520548742502,33.0008395848096
南阳东	97.3911088501482,37.3211276774614
南阳寨	112.534501313513,32.9965622046514
南杂木	124.414315543858,41.9712676574779
南漳	111.845386183916,31.7811297067785
南召	112.435425222546,33.4961858046249
闹海营	97.3911088501482,37.3211276774614
讷河	124.889167821644,48.4725280440369
内黄	114.907588755509,35.9769496680614
内江	105.043357831904,29.5943843177129
内江北	105.043357831904,29.5943843177129
内江东	105.043357831904,29.5943843177129
内乡	111.855425286973,33.0512031054757
嫩江	125.256265758132,49.183975744912
尼波	97.3911088501482,37.3211276774614
尼勒克	82.5183839216891,43.7896712257294
尼日	97.3911088501482,37.3211276774614
泥溪	97.3911088501482,37.3211276774614
碾子山	122.88887779509,47.52187475503
娘子关	97.3911088501482,37.3211276774614
聂河	97.3911088501482,37.3211276774614
宁安	129.477330057494,44.3479751463335
宁波	121.630842781856,29.8660681240696
宁城	119.319484306686,41.6064074919302
宁德	119.590275970821,26.6667617203923
宁东	106.601384759182,38.1588212689242
宁都	116.01549443743,26.4759795033403
宁洱	101.05244246946,23.054590179481
宁海	121.426769059897,29.342256974488
宁化	116.673522447009,26.2537178859517
宁陵县	115.320418437372,34.46663402766
宁明	107.08352381902,22.1458848441836
宁强	106.260622535164,32.8353850530735
宁强南	106.264588643821,32.8353801992088
宁武	112.326398242122,39.0243423814312
宁县	107.934570925868,35.5079329745365
宁乡	112.587275220826,28.2948518445791
宁乡西	112.585176868986,28.2931197439142
牛车河	97.3911088501482,37.3211276774614
牛河梁	97.3911088501482,37.3211276774614
牛家	97.3911088501482,37.3211276774614
牛栏山	97.3911088501482,37.3211276774614
农安	125.181775849525,44.4408572288387
暖泉	97.3911088501482,37.3211276774614
欧里	97.3911088501482,37.3211276774614
徘徊北	114.048386035228,36.6248013544918
潘家店	121.137856418299,31.2684369952256
攀枝花	101.857895438608,26.5497954183078
攀枝花南	97.3911088501482,37.3211276774614
盘古	97.3911088501482,37.3211276774614
盘关	97.3911088501482,37.3211276774614
盘锦	122.068383787598,41.2030720854053
盘锦北	121.813450522852,41.3420423070495
盘州	104.478581839318,25.7156512580764
磐安南	120.456513051773,29.0601031751075
磐安镇	105.115278608245,34.7626884917986
磐石	126.066616298891,42.9518175001137
泡子	97.3911088501482,37.3211276774614
裴德	97.3911088501482,37.3211276774614
朋普	97.3911088501482,37.3211276774614
彭山	103.87955823007,30.1988544168598
彭山北	103.87955823007,30.1988544168598
彭水	108.242007080589,29.3672605242676
彭阳	106.638390275005,35.8659338463897
彭泽	116.555509806439,29.9021220049059
彭州	103.931457471586,30.9850831719225
彭州南	103.965561370781,30.9955640026288
蓬安	106.430227466297,31.0065926051878
蓬安西	106.418481942093,31.0346307782709
蓬莱市	97.3911088501482,37.3211276774614
蓬溪	105.713446054112,30.7637514417915
邳州东	118.019123301302,34.3446455193259
皮口	122.346705963416,39.436610724107
皮山	78.2920693956487,37.5840859382035
郫县	103.905445688087,30.7995376535734
郫县西	103.905445688087,30.7995376535734
偏店	97.3911088501482,37.3211276774614
平安驿	97.3911088501482,37.3211276774614
平坝南	106.263583787087,26.4111864712574
平昌	107.082415591974,31.5583151193834
平川西	104.831613940068,36.7334987518694
平等	97.3911088501482,37.3211276774614
平顶山	113.400009958814,33.741514104078
平顶山西	113.094476042996,33.8223000734907
平度	119.976700697455,36.759936130149
平度西	119.890793675433,36.7682826425992
平房	126.687743615423,45.5983474844975
平关	97.3911088501482,37.3211276774614
平果	107.596571068492,23.334922742592
平河口	97.3911088501482,37.3211276774614
平湖	121.022575255254,30.6822409980578
平凉	106.671442348278,35.5492320504635
平凉南	106.833384104598,35.489282436191
平罗	106.536518477629,38.9196068259103
平南南	110.438982445273,23.4234123268757
平泉	118.685883289809,41.0017511598451
平泉北	118.685883289809,41.0017511598451
平山	123.790790191072,41.2953403706101
平社	97.3911088501482,37.3211276774614
平台	97.3911088501482,37.3211276774614
平潭	119.796501314137,25.5047002739449
平田	97.3911088501482,37.3211276774614
平旺	113.178533543803,40.0383785023708
平阳	120.572515374444,27.6677244010927
平洋	123.547761351059,46.6044969233796
平遥	112.182455563814,37.195600690703
平遥古城	97.3911088501482,37.3211276774614
平邑	117.650107302892,35.5223898226004
平峪	97.3911088501482,37.3211276774614
平原	116.440504708267,37.1712214633116
平原堡	97.3911088501482,37.3211276774614
平原东	116.440504708267,37.1712214633116
平庄	119.313346813951,42.0475790365105
平庄北	97.3911088501482,37.3211276774614
平庄南	97.3911088501482,37.3211276774614
坪石	97.3911088501482,37.3211276774614
凭祥	106.759581108155,22.1183353290143
屏边	103.693431832316,22.9899895855128
屏南	119.000561490167,26.9214970096894
屏山	104.375865944631,28.8221351012886
萍乡	113.848803197241,27.6525492973074
萍乡北	113.854440513467,27.6892028192469
坡底下	97.3911088501482,37.3211276774614
泊头	116.592077144423,38.0682962070145
鄱阳	116.900814851138,29.339978407706
鄱阳北	116.707605146182,28.9979975632147
莆田	119.014520978126,25.4598654559227
蒲坝	97.3911088501482,37.3211276774614
蒲城	109.615718965743,34.994505146242
蒲城东	109.592496510683,34.9612741287829
蒲江	103.512571324145,30.2025004281393
蒲石	97.3911088501482,37.3211276774614
濮阳东	115.035597470342,35.7675930289063
普安县	104.95954583802,25.7899517691286
普定	105.748485706136,26.3082334513471
普洱	100.972569814728,22.8309791860103
普洱渡	100.972569814728,22.8309791860103
普兰店	121.946459834967,39.3980891451832
普宁	116.172448981167,23.3036345218604
普雄	102.657477172775,28.5137041280503
普者黑	111.552646460217,27.2100565560387
七甸	97.3911088501482,37.3211276774614
七龙星	97.3911088501482,37.3211276774614
七苏木	97.3911088501482,37.3211276774614
七台河	130.908876715308,45.817981563112
七台河西	131.011544591027,45.7763003215479
七营	97.3911088501482,37.3211276774614
戚墅堰	97.3911088501482,37.3211276774614
齐哈日格图	112.363937081926,43.2396931827047
齐河	116.76938747073,36.7899448066695
齐齐哈尔	123.998205599883,47.3460533203403
齐齐哈尔南	97.3911088501482,37.3211276774614
祁东	112.131712247699,26.785227874691
祁家堡	97.3911088501482,37.3211276774614
祁门南	117.723392577539,29.8603439480804
祁县	112.342442427683,37.3641312834752
祁县东	112.342442427683,37.3641312834752
祁阳	111.83056709338,26.7065857328163
岐山	107.62744727879,34.4497769623873
奇峰塔	97.3911088501482,37.3211276774614
棋子湾	97.3911088501482,37.3211276774614
綦江	106.670522920264,29.0232759923867
綦江东	106.657484195452,29.0341137483112
旗下营	97.3911088501482,37.3211276774614
蕲春	115.453061959483,30.2488220867516
蕲春南	115.442398534097,30.2325354997342
启东	121.663473746773,31.8142328496432
千岛湖	119.198141002274,29.7419210289474
千河	97.3911088501482,37.3211276774614
千阳	107.139466166437,34.6485446007941
迁安	118.699009599412,40.0094764673443
前锋	106.904479595879,30.506435157767
前进镇	101.703495945232,26.5470433994133
前山	113.532097864376,22.2406005111455
前苇塘	97.3911088501482,37.3211276774614
钱家店	97.3911088501482,37.3211276774614
乾安	123.886776909847,45.1055300640101
乾县	108.245377625537,34.5340182661416
潜江	112.905474090816,30.4083579324189
潜山	116.587611038919,30.6367556823992
黔江	108.77759119835,29.5388125676602
黔西	106.038573977258,27.014344747084
乔庄东	97.3911088501482,37.3211276774614
桥头	120.311050555343,22.7559883911533
桥湾	97.3911088501482,37.3211276774614
桥西	114.486165613647,38.0196141577295
且末	85.5350902836101,38.139203219111
钦州东	108.660580168422,21.9865935394843
秦安	105.681574803432,34.8648761115684
秦皇岛	119.52596719426,39.8947271983274
秦家	97.3911088501482,37.3211276774614
秦家庄	97.3911088501482,37.3211276774614
秦岭	97.3911088501482,37.3211276774614
秦王川	97.3911088501482,37.3211276774614
沁县	112.705458014778,36.7621899385521
青白江东	104.214991705803,30.9055381898898
青城山	97.3911088501482,37.3211276774614
青川	105.245407054589,32.5816168572999
青岛	120.319166288382,36.0701228230166
青岛北	120.31833131341,36.0697438619502
青岛北2	120.31833131341,36.0697438619502
青岛机场	120.106208863845,36.343827816686
青岛西	119.961606020818,35.9073149169335
青堆	123.233740164668,39.8496454634777
青沟子	97.3911088501482,37.3211276774614
青莲	97.3911088501482,37.3211276774614
青龙	118.961664159339,40.4101087837155
青神	103.853558831792,29.8370547437175
青水山	97.3911088501482,37.3211276774614
青田	120.296573348997,28.1454875563301
青铜峡	106.085370316611,38.0274122239672
青县	116.810574778362,38.5884647586398
青州市	118.486536720867,36.6904165087054
青州市北	118.486536720867,36.6904165087054
清城	113.069476635368,23.7040220379249
清河	115.69373812765,37.0481829586128
清河城	115.674357904917,37.0463432134306
清河门北	121.426836629671,41.7828121663213
清涧县	110.127559162271,37.0948528878283
清流	116.823593185795,26.1833573532103
清水	97.3911088501482,37.3211276774614
清水北	97.3911088501482,37.3211276774614
清水县	106.113257762015,34.7575507797713
清原	124.924375478526,42.0959262186363
清远	113.140923004758,23.7001099781735
清镇西	106.477522610323,26.5619878984789
庆安	127.47377593836,46.8602260485602
庆城	107.911410094565,35.9879333127375
庆盛	97.3911088501482,37.3211276774614
庆阳	107.649385695954,35.715215983562
庆元	119.069486854975,27.6254317783535
邛崃	103.470481129644,30.4163986008541
琼海	110.48054452595,19.2642540199176
曲阜	117.036895126174,35.5888013157296
曲阜东	117.077113072331,35.5625814990699
曲阜南	116.993415971694,35.5873722864878
曲家店	123.939101508736,43.2334428371572
曲江	113.611501064649,24.6884078463803
曲靖	103.798333793803,25.5323755059587
曲靖北	103.802434827947,25.4964069315437
曲子	97.3911088501482,37.3211276774614
渠县	106.979582967024,30.842299283481
衢州	118.88748800278,28.9296380439023
全椒	118.280584282697,32.0919397976034
全州南	111.052099850557,25.9596798851016
泉港	118.922432985413,25.1396503939537
泉阳	97.3911088501482,37.3211276774614
泉州	118.682446266804,24.8799523304983
泉州东	118.682446266804,24.8799523304983
泉州南	118.682446266804,24.8799523304983
确山	114.032495010756,32.8081756929839
饶平	116.939398510068,23.7173211281892
饶阳	115.738669482817,38.2440271526419
任丘	116.09127820058,38.6920321317663
日喀则	88.9226542536054,29.2260298980735
日照西	119.42675707611,35.3967169558161
荣昌	105.60141979928,29.4113073966899
荣昌北	105.642898427375,29.4383214695046
荣成	122.492504630738,37.1713179392532
容桂	97.3911088501482,37.3211276774614
容县	110.564530162289,22.8636655999348
榕江	108.527553698716,25.9377253732502
融安	109.40456325934,25.2305114471283
融水	109.254200571263,25.0728907862383
如东	121.183680958636,32.4515311169005
如皋	120.579465581092,32.377851486109
如皋南	120.579465581092,32.377851486109
汝箕沟	97.3911088501482,37.3211276774614
汝州	112.631682159516,34.2710808942972
乳山	121.546428581197,36.9251773578778
乳山南	121.546428581197,36.9251773578778
瑞安	120.661582186068,27.7839507362317
瑞昌	115.687429672072,29.6819512865315
瑞昌西	115.687429672072,29.6819512865315
瑞金	116.033420662859,25.8916662739533
若羌	88.173237588366,39.0302223632306
萨拉齐	110.538219615988,40.5711174223681
赛汗塔拉	109.894420046825,40.6510585387258
赛乌苏	84.7200881469639,44.4240480344516
三岔湖	97.3911088501482,37.3211276774614
三道营	97.3911088501482,37.3211276774614
三都县	107.876429256809,25.9894794993727
三关口	97.3911088501482,37.3211276774614
三合庄	97.3911088501482,37.3211276774614
三河县	117.098933002999,39.9785631478604
三汇镇	107.144714875702,31.0356480167567
三家寨	97.3911088501482,37.3211276774614
三家子	97.3911088501482,37.3211276774614
三间房	97.3911088501482,37.3211276774614
三江	109.61454747223,25.788830387788
三江口	97.3911088501482,37.3211276774614
三江南	108.28443207354,22.8062175050238
三门峡	111.240051338046,34.7667056585876
三门峡南	111.240051338046,34.7667056585876
三门峡西	111.240051338046,34.7667056585876
三门县	121.369400036149,29.0608879800801
三明	117.813149197964,26.3818342536639
三明北	117.813707225346,26.3819773114275
三水北	112.903470855145,23.161920493984
三水南	112.903470855145,23.161920493984
三穗	108.659106228742,26.9700379117392
三星堆	97.3911088501482,37.3211276774614
三亚	109.518556701399,18.2587362917479
三亚2	109.518556701399,18.2587362917479
三阳	118.797470530767,30.0263663653013
三阳川	97.3911088501482,37.3211276774614
三义井	97.3911088501482,37.3211276774614
三营	97.3911088501482,37.3211276774614
三元坝	97.3911088501482,37.3211276774614
三元西	117.613417435686,26.2463586163368
三原	108.94744650025,34.623078955252
三源浦	97.3911088501482,37.3211276774614
三灶东	97.3911088501482,37.3211276774614
桑根达来	115.945665123176,42.6823092991022
桑日	92.0241489766721,29.2655830847102
桑植	110.170413352127,29.4059232194151
沙海	119.472539935071,41.5034182475601
沙河市	114.509473856883,36.8611273411454
沙井西	115.863089361946,28.7021119267995
沙马拉达	102.576021254582,28.2369972610993
沙坪坝	106.464465110925,29.5471925165411
沙坡头	97.3911088501482,37.3211276774614
沙沙坡	97.3911088501482,37.3211276774614
沙沱	97.3911088501482,37.3211276774614
沙湾	103.557771980008,29.4330103014806
沙湾南	110.394307825835,21.2724900755971
沙湾市	103.556435660732,29.4192724992451
莎车	77.264751583922,38.4203875039339
厦门	118.119881183739,24.4767275453455
厦门2	118.119881183739,24.4767275453455
厦门北	118.080553099033,24.6426663391141
山城镇	125.434509164077,42.379763325122
山丹	101.106285205417,38.7868505010215
山丹马场	97.3911088501482,37.3211276774614
山海关	119.78243521397,39.9844456418315
山南	91.7717253979434,29.2456266218484
山坡东	97.3911088501482,37.3211276774614
山市	97.3911088501482,37.3211276774614
山湾子	117.827260605395,42.3949762187753
山阴	112.822431944727,39.5340304980109
汕头	116.761772609094,23.3785276190067
汕头南	116.688528640548,23.3590917177251
汕尾	115.435097001861,22.8170090151495
鄯善北	90.5021255246933,43.0899964678305
商城	97.3911088501482,37.3211276774614
商都	113.584639229263,41.5675666372238
商河	117.163529792899,37.3149707155564
商洛	109.924417881364,33.8786338522078
商洛北	109.924417881364,33.8786338522078
商南	110.888408478368,33.5375334767074
商丘	115.664242984874,34.4480850909497
商丘东	115.662984638516,34.4493090853277
商丘南	115.71039199316,34.4144426101642
上板城	97.3911088501482,37.3211276774614
上板城南	118.052910008821,40.8307300001719
上仓	117.408796212391,39.9122784585395
上高镇	97.3911088501482,37.3211276774614
上谷	97.3911088501482,37.3211276774614
上海	97.3911088501482,37.3211276774614
上海虹桥	114.124563225992,22.5398520253767
上海南	97.3911088501482,37.3211276774614
上海松江	121.234479596241,31.0371351764645
上海西	97.3911088501482,37.3211276774614
上杭	116.426442887757,25.0555704015255
上普雄	97.3911088501482,37.3211276774614
上饶	117.949459603122,28.4606259218517
上万	97.3911088501482,37.3211276774614
上西铺	97.3911088501482,37.3211276774614
上腰墩	97.3911088501482,37.3211276774614
上虞	120.874509893639,30.0382429670625
上虞南	120.874509893639,30.0382429670625
尚志	127.968219280894,45.2194550942854
尚志南	127.968219280894,45.2194550942854
韶关	113.610605094733,24.7999373485732
韶关东	113.610605094733,24.7999373485732
韶山南	112.540841988691,27.9050865472654
邵东	111.754499391295,27.2798170118255
邵家堂	121.211797741437,31.3450023724186
邵阳	111.538860435052,27.2631962431453
邵阳北	111.538860435052,27.2631962431453
邵阳西	111.538860435052,27.2631962431453
绍兴	120.585888285827,30.0205112527579
绍兴北	120.545177080115,30.1053382971372
绍兴东	120.586359447067,30.0202395879456
畲江北	106.580415062385,29.6128323140803
舍伯吐	97.3911088501482,37.3211276774614
舍力虎	97.3911088501482,37.3211276774614
射阳	120.332817208403,33.7722908244647
涉县	113.697584348829,36.5906916632112
歙县北	118.421460129788,29.8662876757573
申家店	116.853187337517,40.7437748338667
莘县	115.677396872457,36.2399071205461
深圳	114.123610572999,22.5379608455043
深圳北	114.035576183898,22.6152747056946
深圳东	114.130999584969,22.6997236740585
深圳机场	97.3911088501482,37.3211276774614
深圳机场北	97.3911088501482,37.3211276774614
深圳坪山	114.357197314004,22.7153763651011
深州	115.575201415606,38.0062749970814
什邡西	104.098286099711,31.1178253900806
什里店	97.3911088501482,37.3211276774614
神池	112.217382760009,39.0968758248633
神木	110.453178021495,39.045567104888
神木西	110.097722034588,38.9926300939394
神农架	97.3911088501482,37.3211276774614
神树	97.3911088501482,37.3211276774614
神头	97.3911088501482,37.3211276774614
神州	97.3911088501482,37.3211276774614
沈家	97.3911088501482,37.3211276774614
沈家河	97.3911088501482,37.3211276774614
沈丘	115.105455455953,33.4156910940589
沈丘北	115.105455455953,33.4156910940589
沈阳	123.471096644823,41.6838300691907
沈阳北	97.3911088501482,37.3211276774614
沈阳南	97.3911088501482,37.3211276774614
胜芳	97.3911088501482,37.3211276774614
胜利镇	106.207125836958,37.9864683908518
嵊州北	120.83743725739,29.5673269912943
嵊州新昌	120.826015392665,29.5330985102527
师宗	103.991556344528,24.8279949695012
狮岭	97.3911088501482,37.3211276774614
狮山	97.3911088501482,37.3211276774614
